_row_id,batch_id,augment_id,augment_name,augment_img,trend,color_type,description,all_pick_rate_main,all_pick_rate_sub,avg_ranking,pick_rate_4,pick_rate_1,raw_json
71,4,1012,浪人 I,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/exiles1.png,0,1,在战斗环节开始时，己方邻格内没有友军的弈子会获得相当于其20%最大生命值的护盾值，持续10秒。,1.34,0.1,4.18,56.31,15.04,"{""id"":1012,""name"":""浪人 I"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/exiles1.png"",""trend"":0,""extraData"":{""colorType"":1,""desc"":""在战斗环节开始时，己方邻格内没有友军的弈子会获得相当于其20%最大生命值的护盾值，持续10秒。"",""stage"":[{""stagePickRate"":2.45,""avgRanking"":4.14},{""stagePickRate"":7.81,""avgRanking"":4.15},{""stagePickRate"":2.6,""avgRanking"":4.34}]},""allPickRate"":[1.34,0.1],""avgRanking"":4.18,""pickRate_4"":56.31,""pickRate_1"":15.04}"
72,4,20480,砍价高手,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/hardbargain2.png,1,2,你无法选择你的选秀奖励。每次选秀回合获得额外的6玩家生命值和8金币。 当你没有选择一个选秀奖励时，你会被给予一个未被选择的弈子和其携带的装备。,1.32,0.1,4.44,51.48,13.65,"{""id"":20480,""name"":""砍价高手"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/hardbargain2.png"",""trend"":1,""extraData"":{""colorType"":2,""desc"":""你无法选择你的选秀奖励。每次选秀回合获得额外的6玩家生命值和8金币。 当你没有选择一个选秀奖励时，你会被给予一个未被选择的弈子和其携带的装备。"",""stage"":[{""stagePickRate"":12.6,""avgRanking"":4.43},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.32,0.1],""avgRanking"":4.44,""pickRate_4"":51.48,""pickRate_1"":13.65}"
73,4,3158,耐心学习,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/learningfromexperience2.png,0,2,在与玩家的战斗后，如果你赢了则获得2经验，如果你输了则获得3经验。,1.29,0.1,4.67,45.45,13.8,"{""id"":3158,""name"":""耐心学习"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/learningfromexperience2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""在与玩家的战斗后，如果你赢了则获得2经验，如果你输了则获得3经验。"",""stage"":[{""stagePickRate"":11.04,""avgRanking"":4.69},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.29,0.1],""avgRanking"":4.67,""pickRate_4"":45.45,""pickRate_1"":13.8}"
74,4,20575,救赎盔甲,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/spiritofredemption2.png,0,2,获得1个【振奋盔甲】。每5秒，【振奋盔甲】会治疗1格内的己方弈子7.5%已损失生命值。,1.29,0.1,4.32,55.05,8.75,"{""id"":20575,""name"":""救赎盔甲"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/spiritofredemption2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""获得1个【振奋盔甲】。每5秒，【振奋盔甲】会治疗1格内的己方弈子7.5%已损失生命值。"",""stage"":[{""stagePickRate"":6.54,""avgRanking"":4.28},{""stagePickRate"":5.43,""avgRanking"":4.33},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.29,0.1],""avgRanking"":4.32,""pickRate_4"":55.05,""pickRate_1"":8.75}"
75,4,20517,寻宝,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/treasurehunt2.png,2,2,在现在和第6阶段之间的每个阶段获得一个上锁的宝箱。当你在商店刷新上花费16金币时，即可解锁一个宝箱。这些宝箱会存留至被打开为止。,1.29,0.1,4.38,52.78,7.58,"{""id"":20517,""name"":""寻宝"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/treasurehunt2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""在现在和第6阶段之间的每个阶段获得一个上锁的宝箱。当你在商店刷新上花费16金币时，即可解锁一个宝箱。这些宝箱会存留至被打开为止。"",""stage"":[{""stagePickRate"":11.43,""avgRanking"":4.35},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.29,0.1],""avgRanking"":4.38,""pickRate_4"":52.78,""pickRate_1"":7.58}"
76,4,1476,成群结队 I,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/teamingup1.png,0,1,获得1件随机基础装备和2个随机3阶英雄。,1.26,0.1,4.61,47.58,11.2,"{""id"":1476,""name"":""成群结队 I"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/teamingup1.png"",""trend"":0,""extraData"":{""colorType"":1,""desc"":""获得1件随机基础装备和2个随机3阶英雄。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":9.54,""avgRanking"":4.54},{""stagePickRate"":2.54,""avgRanking"":4.86}]},""allPickRate"":[1.26,0.1],""avgRanking"":4.61,""pickRate_4"":47.58,""pickRate_1"":11.2}"
77,4,20188,两把刷子,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/twotrick2.png,0,2,获得1个随机的2星2费弈子和2个随机的2星1费弈子。,1.25,0.1,4.74,46.26,9.73,"{""id"":20188,""name"":""两把刷子"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/twotrick2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""获得1个随机的2星2费弈子和2个随机的2星1费弈子。"",""stage"":[{""stagePickRate"":10.85,""avgRanking"":4.67},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.25,0.1],""avgRanking"":4.74,""pickRate_4"":46.26,""pickRate_1"":9.73}"
78,4,20569,火上浇油,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/feedtheflames2.png,0,2,获得1个【日炎斗篷】。你的队伍在攻击受到灼烧效果的敌人时获得12%全能吸血。,1.22,0.09,4.46,51.15,8.88,"{""id"":20569,""name"":""火上浇油"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/feedtheflames2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""获得1个【日炎斗篷】。你的队伍在攻击受到灼烧效果的敌人时获得12%全能吸血。"",""stage"":[{""stagePickRate"":6.02,""avgRanking"":4.56},{""stagePickRate"":5.14,""avgRanking"":4.36},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.22,0.09],""avgRanking"":4.46,""pickRate_4"":51.15,""pickRate_1"":8.88}"
79,4,20459,王冠之重,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/heavyisthecrown2.png,0,2,获得一个【德玛西亚王冠】，它会对携带者提供各种显著加成，如果携带者阵亡，就会输掉该回合。,1.22,0.09,4.24,57.11,7.65,"{""id"":20459,""name"":""王冠之重"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/heavyisthecrown2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""获得一个【德玛西亚王冠】，它会对携带者提供各种显著加成，如果携带者阵亡，就会输掉该回合。"",""stage"":[{""stagePickRate"":6.89,""avgRanking"":4.19},{""stagePickRate"":4.35,""avgRanking"":4.31},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.22,0.09],""avgRanking"":4.24,""pickRate_4"":57.11,""pickRate_1"":7.65}"
80,4,30045,金鳞精粹,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/shimmerscaleessence3.png,1,3,获得1个【大亨之铠】。在5个战斗回合后，获得1个【投机者之刃】。这些装备会在提供战斗力的同时给予金币。,1.21,0.09,4.04,58.16,15.08,"{""id"":30045,""name"":""金鳞精粹"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/shimmerscaleessence3.png"",""trend"":1,""extraData"":{""colorType"":3,""desc"":""获得1个【大亨之铠】。在5个战斗回合后，获得1个【投机者之刃】。这些装备会在提供战斗力的同时给予金币。"",""stage"":[{""stagePickRate"":10.6,""avgRanking"":4.01},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.21,0.09],""avgRanking"":4.04,""pickRate_4"":58.16,""pickRate_1"":15.08}"
81,4,2634,治疗法球 II,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/healingorbs2.png,2,2,在一名敌人阵亡时，相距最近的那个己方弈子获得500治疗效果。,1.21,0.09,4.36,51.43,8.81,"{""id"":2634,""name"":""治疗法球 II"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/healingorbs2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""在一名敌人阵亡时，相距最近的那个己方弈子获得500治疗效果。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":3.91,""avgRanking"":4.55},{""stagePickRate"":7.66,""avgRanking"":4.26}]},""allPickRate"":[1.21,0.09],""avgRanking"":4.36,""pickRate_4"":51.43,""pickRate_1"":8.81}"
82,4,3007,潘朵拉的装备 III,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/pandora3.png,2,3,回合开始时：你备战席上的装备会随机变化。  获得1件随机光明武器。,1.21,0.09,4.41,50.71,9.71,"{""id"":3007,""name"":""潘朵拉的装备 III"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/pandora3.png"",""trend"":2,""extraData"":{""colorType"":3,""desc"":""回合开始时：你备战席上的装备会随机变化。  获得1件随机光明武器。"",""stage"":[{""stagePickRate"":3.33,""avgRanking"":4.35},{""stagePickRate"":7.87,""avgRanking"":4.45},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.21,0.09],""avgRanking"":4.41,""pickRate_4"":50.71,""pickRate_1"":9.71}"
83,4,10048,C位的觉悟,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/findyourcenter1.png,2,1,在战斗开始时处在最前排中心的那个己方弈子获得15%伤害增幅和25%最大生命值。,1.2,0.09,4.05,60.94,9.4,"{""id"":10048,""name"":""C位的觉悟"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/findyourcenter1.png"",""trend"":2,""extraData"":{""colorType"":1,""desc"":""在战斗开始时处在最前排中心的那个己方弈子获得15%伤害增幅和25%最大生命值。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":8.06,""avgRanking"":4.01},{""stagePickRate"":3.45,""avgRanking"":4.16}]},""allPickRate"":[1.2,0.09],""avgRanking"":4.05,""pickRate_4"":60.94,""pickRate_1"":9.4}"
84,4,20481,大刷特刷,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/heftyrolls2.png,2,2,你在这局游戏每次刷新时，你的队伍就会获得9生命值和体型。获得5金币。  刷新次数：0 生命值：0,1.19,0.09,4.05,58.72,15.27,"{""id"":20481,""name"":""大刷特刷"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/heftyrolls2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""你在这局游戏每次刷新时，你的队伍就会获得9生命值和体型。获得5金币。  刷新次数：0 生命值：0"",""stage"":[{""stagePickRate"":10.33,""avgRanking"":4.02},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.19,0.09],""avgRanking"":4.05,""pickRate_4"":58.72,""pickRate_1"":15.27}"
85,4,3022,星界赐福 III,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/celestialblessing3.png,2,3,你的队伍获得25%全能吸血。多余的治疗量会转化为护盾，最高可达到1000护盾值。,1.19,0.09,4.47,51.36,10.74,"{""id"":3022,""name"":""星界赐福 III"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/celestialblessing3.png"",""trend"":2,""extraData"":{""colorType"":3,""desc"":""你的队伍获得25%全能吸血。多余的治疗量会转化为护盾，最高可达到1000护盾值。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":4.75,""avgRanking"":4.6},{""stagePickRate"":6.68,""avgRanking"":4.38}]},""allPickRate"":[1.19,0.09],""avgRanking"":4.47,""pickRate_4"":51.36,""pickRate_1"":10.74}"
86,4,2915,天降金币,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/raininggold2.png,0,2,即刻获得7金币，并且每回合获得1金币。,1.19,0.09,4.37,53.19,13.52,"{""id"":2915,""name"":""天降金币"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/raininggold2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""即刻获得7金币，并且每回合获得1金币。"",""stage"":[{""stagePickRate"":9.43,""avgRanking"":4.43},{""stagePickRate"":1.33,""avgRanking"":3.96},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.19,0.09],""avgRanking"":4.37,""pickRate_4"":53.19,""pickRate_1"":13.52}"
87,4,2007,潘朵拉的装备 II,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/pandora2.png,0,2,回合开始时：你备战席上的装备会随机变化。  获得2件随机基础装备。,1.18,0.09,4.54,49.26,8.97,"{""id"":2007,""name"":""潘朵拉的装备 II"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/pandora2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""回合开始时：你备战席上的装备会随机变化。  获得2件随机基础装备。"",""stage"":[{""stagePickRate"":3.33,""avgRanking"":4.31},{""stagePickRate"":3.75,""avgRanking"":4.51},{""stagePickRate"":4.29,""avgRanking"":4.74}]},""allPickRate"":[1.18,0.09],""avgRanking"":4.54,""pickRate_4"":49.26,""pickRate_1"":8.97}"
88,4,20232,长矛意志,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/willofthespear2.png,2,2,你的队伍获得8%物理加成和5法力值。获得1个【暴风大剑】和1个【女神之泪】。,1.18,0.09,4.32,53.39,10.27,"{""id"":20232,""name"":""长矛意志"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/willofthespear2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""你的队伍获得8%物理加成和5法力值。获得1个【暴风大剑】和1个【女神之泪】。"",""stage"":[{""stagePickRate"":3.45,""avgRanking"":4.6},{""stagePickRate"":3.18,""avgRanking"":4.01},{""stagePickRate"":4.7,""avgRanking"":4.32}]},""allPickRate"":[1.18,0.09],""avgRanking"":4.32,""pickRate_4"":53.39,""pickRate_1"":10.27}"
89,4,1006,装备百宝袋 I,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/itemgrabbag1.png,0,1,获得1件随机成装。,1.17,0.09,4.57,48.88,10.22,"{""id"":1006,""name"":""装备百宝袋 I"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/itemgrabbag1.png"",""trend"":0,""extraData"":{""colorType"":1,""desc"":""获得1件随机成装。"",""stage"":[{""stagePickRate"":3.35,""avgRanking"":4.44},{""stagePickRate"":6.08,""avgRanking"":4.7},{""stagePickRate"":1.77,""avgRanking"":4.35}]},""allPickRate"":[1.17,0.09],""avgRanking"":4.57,""pickRate_4"":48.88,""pickRate_1"":10.22}"
90,4,3917,物尽其用+,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/slammin2.png,0,2,即刻获得1件随机的基础装备和10经验值。每个玩家对战回合结束时，如果你的备战席没有任何装备(消耗品除外)，则获得2经验值。,1.13,0.09,4.39,50.86,15.1,"{""id"":3917,""name"":""物尽其用+"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/slammin2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""即刻获得1件随机的基础装备和10经验值。每个玩家对战回合结束时，如果你的备战席没有任何装备(消耗品除外)，则获得2经验值。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":10.41,""avgRanking"":4.41},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.13,0.09],""avgRanking"":4.39,""pickRate_4"":50.86,""pickRate_1"":15.1}"
91,4,20015,反响,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/replication2.png,0,2,在3件基础装备中选择1件。在接下来的2回合，获得1件该基础装备。,1.13,0.09,4.42,51.25,9.05,"{""id"":20015,""name"":""反响"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/replication2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""在3件基础装备中选择1件。在接下来的2回合，获得1件该基础装备。"",""stage"":[{""stagePickRate"":5.08,""avgRanking"":4.33},{""stagePickRate"":5.08,""avgRanking"":4.5},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.13,0.09],""avgRanking"":4.42,""pickRate_4"":51.25,""pickRate_1"":9.05}"
92,4,10011,耐心是一种美德,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/patienceisavirtue1.png,0,1,每回合，如果你在上一回合未购买任何弈子，则会获得2次免费刷新。,1.12,0.08,4.14,56.31,15.92,"{""id"":10011,""name"":""耐心是一种美德"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/patienceisavirtue1.png"",""trend"":0,""extraData"":{""colorType"":1,""desc"":""每回合，如果你在上一回合未购买任何弈子，则会获得2次免费刷新。"",""stage"":[{""stagePickRate"":10.2,""avgRanking"":4.1},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.12,0.08],""avgRanking"":4.14,""pickRate_4"":56.31,""pickRate_1"":15.92}"
93,4,30028,上进心,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/upwardmobility3.png,2,3,购买经验的费用降低1。每当你升级时，获得2生命值和2次免费刷新。,1.11,0.08,4.21,55.96,17.41,"{""id"":30028,""name"":""上进心"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/upwardmobility3.png"",""trend"":2,""extraData"":{""colorType"":3,""desc"":""购买经验的费用降低1。每当你升级时，获得2生命值和2次免费刷新。"",""stage"":[{""stagePickRate"":10.62,""avgRanking"":4.21},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.11,0.08],""avgRanking"":4.21,""pickRate_4"":55.96,""pickRate_1"":17.41}"
94,4,20629,杖之工匠,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/rodsmith2.png,0,2,获得2个由【无用大棒】合成的随机成装。,1.1,0.08,4.56,49.9,9.07,"{""id"":20629,""name"":""杖之工匠"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/rodsmith2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""获得2个由【无用大棒】合成的随机成装。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":10.56,""avgRanking"":4.56}]},""allPickRate"":[1.1,0.08],""avgRanking"":4.56,""pickRate_4"":49.9,""pickRate_1"":9.07}"
95,4,20478,黄金命运+,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/silverdestinygoldendestinyprismaticdestiny2.png,2,2,获得1个随机黄金阶强化符文和6金币。,1.06,0.08,4.32,53.46,14.48,"{""id"":20478,""name"":""黄金命运+"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/silverdestinygoldendestinyprismaticdestiny2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""获得1个随机黄金阶强化符文和6金币。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":10.2,""avgRanking"":4.32},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.06,0.08],""avgRanking"":4.32,""pickRate_4"":53.46,""pickRate_1"":14.48}"
96,4,3896,新纪元+,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/epoch2.png,0,2,现在以及每个阶段开始时，获得8经验值和2次免费刷新。,1.06,0.08,4.9,40.65,12.11,"{""id"":3896,""name"":""新纪元+"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/epoch2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""现在以及每个阶段开始时，获得8经验值和2次免费刷新。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":9.64,""avgRanking"":4.87},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.06,0.08],""avgRanking"":4.9,""pickRate_4"":40.65,""pickRate_1"":12.11}"
97,4,30186,1个霸符，2个霸符,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/onebufftwobuff3.png,1,3,获得1个【红霸符】、1个【蓝霸符】和1个【英雄复制器】。,1.04,0.08,4.82,44.56,10.46,"{""id"":30186,""name"":""1个霸符，2个霸符"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/onebufftwobuff3.png"",""trend"":1,""extraData"":{""colorType"":3,""desc"":""获得1个【红霸符】、1个【蓝霸符】和1个【英雄复制器】。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":4.95,""avgRanking"":4.92},{""stagePickRate"":5,""avgRanking"":4.72}]},""allPickRate"":[1.04,0.08],""avgRanking"":4.82,""pickRate_4"":44.56,""pickRate_1"":10.46}"
98,4,20681,蔓延之根+,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/spreadingroots2.png,1,2,获得2个随机纹章、一个【装备重铸器】和2金币。,1.03,0.08,4.37,52.31,18.06,"{""id"":20681,""name"":""蔓延之根+"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/spreadingroots2.png"",""trend"":1,""extraData"":{""colorType"":2,""desc"":""获得2个随机纹章、一个【装备重铸器】和2金币。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":9.22,""avgRanking"":4.34},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.03,0.08],""avgRanking"":4.37,""pickRate_4"":52.31,""pickRate_1"":18.06}"
99,4,1022,星界赐福 I,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/celestialblessing1.png,0,1,你的队伍获得12%全能吸血。多余的治疗量会转化为护盾，最高可达到200护盾值。,1.03,0.08,4.53,47.15,12.63,"{""id"":1022,""name"":""星界赐福 I"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/celestialblessing1.png"",""trend"":0,""extraData"":{""colorType"":1,""desc"":""你的队伍获得12%全能吸血。多余的治疗量会转化为护盾，最高可达到200护盾值。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":7.12,""avgRanking"":4.69},{""stagePickRate"":2.77,""avgRanking"":4.15}]},""allPickRate"":[1.03,0.08],""avgRanking"":4.53,""pickRate_4"":47.15,""pickRate_1"":12.63}"
100,4,20630,剑之工匠,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/swordsmith2.png,0,2,获得2个由【暴风大剑】合成的随机成装。,1.03,0.08,4.48,50.84,10.54,"{""id"":20630,""name"":""剑之工匠"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/swordsmith2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""获得2个由【暴风大剑】合成的随机成装。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":9.87,""avgRanking"":4.48}]},""allPickRate"":[1.03,0.08],""avgRanking"":4.48,""pickRate_4"":50.84,""pickRate_1"":10.54}"
101,4,30627,神力天铸,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/forgedinstrength3.png,2,3,获得1个随机神器。当你降至40生命值时，额外获得3个随机神器。  2023【强音争霸】全球总决赛,1.02,0.08,4.58,48.82,10.87,"{""id"":30627,""name"":""神力天铸"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/forgedinstrength3.png"",""trend"":2,""extraData"":{""colorType"":3,""desc"":""获得1个随机神器。当你降至40生命值时，额外获得3个随机神器。  2023【强音争霸】全球总决赛"",""stage"":[{""stagePickRate"":9.77,""avgRanking"":4.58},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[1.02,0.08],""avgRanking"":4.58,""pickRate_4"":48.82,""pickRate_1"":10.87}"
102,4,30682,羁绊树+,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/thetraittree3.png,1,3,获得3个随机纹章、一个【装备重铸器】和4金币。,0.98,0.07,4.4,49.55,17.84,"{""id"":30682,""name"":""羁绊树+"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/thetraittree3.png"",""trend"":1,""extraData"":{""colorType"":3,""desc"":""获得3个随机纹章、一个【装备重铸器】和4金币。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":9.12,""avgRanking"":4.4},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[0.98,0.07],""avgRanking"":4.4,""pickRate_4"":49.55,""pickRate_1"":17.84}"
103,4,20477,黄金命运,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/silverdestinygoldendestinyprismaticdestiny2.png,0,2,获得1个随机黄金阶强化符文和3金币。,0.98,0.07,4.39,52,12.66,"{""id"":20477,""name"":""黄金命运"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/silverdestinygoldendestinyprismaticdestiny2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""获得1个随机黄金阶强化符文和3金币。"",""stage"":[{""stagePickRate"":9.37,""avgRanking"":4.39},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[0.98,0.07],""avgRanking"":4.39,""pickRate_4"":52,""pickRate_1"":12.66}"
104,4,20560,储蓄账户,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/savingsaccount2.png,2,2,在你通过利息赚取50金币后，获得30金币。你的最大利息提升至7金币。立刻获得4金币。  已赚取的金币：0,0.96,0.07,5,39.9,12.92,"{""id"":20560,""name"":""储蓄账户"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/savingsaccount2.png"",""trend"":2,""extraData"":{""colorType"":2,""desc"":""在你通过利息赚取50金币后，获得30金币。你的最大利息提升至7金币。立刻获得4金币。  已赚取的金币：0"",""stage"":[{""stagePickRate"":9.12,""avgRanking"":4.98},{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[0.96,0.07],""avgRanking"":5,""pickRate_4"":39.9,""pickRate_1"":12.92}"
105,4,20576,优柔寡断 I,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/indecisioni2.png,0,2,在3回合后，选择一个同阶位的新强化符文。立刻获得4金币。,0.95,0.07,4.47,52.51,13.24,"{""id"":20576,""name"":""优柔寡断 I"",""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/hex/indecisioni2.png"",""trend"":0,""extraData"":{""colorType"":2,""desc"":""在3回合后，选择一个同阶位的新强化符文。立刻获得4金币。"",""stage"":[{""stagePickRate"":0,""avgRanking"":99999},{""stagePickRate"":9.12,""avgRanking"":4.47},{""stagePickRate"":0,""avgRanking"":99999}]},""allPickRate"":[0.95,0.07],""avgRanking"":4.47,""pickRate_4"":52.51,""pickRate_1"":13.24}"
